;FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9;FLIR: rango 10;FLIR: area m2
78;78;59636;0,898819505;0,0047454559999999995;0.001140251;0.001274398;0.001123482;0.003806426;0.02402911;0.030116037;0.034794419;0.000150916;0,05846093520243113
79;79;64811;0,905633303;0,004721421;0.00087948;0.001265217;0.000987487;0.003425344;0.022573329;0.02876055;0.031645863;0.000108006;0,06353396725811195
80;80;59717;0,8967630659999999;0,004705528;0.001172196;0.001322906;0.001071722;0.003784517;0.025302678;0.032235377;0.033491301;0.000150711;0,05854033918243309
81;81;65425;0,9046389000000001;0,004432556;0.000886511;0.001329767;0.000993504;0.003362629;0.023461979;0.030278945;0.030355369;0.00025984;0,06413586903244779
82;82;62100;0,898389694;0,004879227;0.000805153;0.001288245;0.001111111;0.003655395;0.025297907;0.033607085;0.030628019;0.000338164;0,06087638466816979
83;83;61083;0,8955192120000001;0,004960464;0.000802187;0.00153889;0.001015012;0.003634399;0.026341208;0.036491331;0.029353503;0.000343795;0,05987942358592295
84;84;59942;0,8923125690000001;0,0051383;0.001034333;0.001201161;0.001367989;0.003636849;0.027393147;0.039004371;0.028644356;0.000266925;0,05876090579354965
85;85;55319;0,882391222;0,0051700140000000006;0.001391927;0.001337696;0.001156926;0.004248088;0.030513928;0.043240116;0.03044162;0.000108462;0,054228997157141454
86;86;51994;0,873658499;0,00540447;0.001442474;0.001634804;0.001077047;0.004808247;0.033042274;0.047024657;0.031830596;7,69E-05;0,05096951279286344
87;87;53821;0,8766838220000001;0,005351071;0.001077646;0.001876591;0.001114806;0.004700767;0.032255068;0.045930027;0.03095446;5,57E-05;0,05276051367512989
88;88;60665;0,8893101459999999;0,004928707;0.000939586;0.001467073;0.001252782;0.004022089;0.028682107;0.041803346;0.027297453;0.000296711;0,05946965983727086
89;89;56985;0,8810739670000001;0,00542248;0.000824778;0.001509169;0.001351233;0.004439765;0.031341581;0.045626042;0.028235501;0.000175485;0,055862170375453386
90;90;61880;0,889382676;0,004767292;0.001260504;0.001308985;0.0010181;0.0041532;0.029023917;0.043455074;0.025404008;0.000226244;0,06066071953730026
91;91;59923;0,884702034;0,004889608;0.001118102;0.001702184;0.001151478;0.004305525;0.030756137;0.045274769;0.025883217;0.000216945;0,05874228016861092
92;92;58971;0,881636737;0,0052059490000000005;0.001153109;0.001458344;0.001187024;0.004697224;0.031710502;0.04724356;0.025588849;0.000118702;0,057809038329575534
93;93;53729;0,869083735;0,005583576999999999;0.001098103;0.001675073;0.001526178;0.005192726;0.035921011;0.051666698;0.028197063;5,58E-05;0,05267032643858445
94;94;63253;0,8874677879999999;0,005106477;0.001027619;0.001154095;0.001312191;0.004410858;0.030306863;0.044472199;0.02471029;3,16E-05;0,062006666013135966
95;95;52026;0,8623188409999999;0,005862453;0.001307039;0.001633798;0.001249375;0.005862453;0.038346212;0.053838465;0.029581363;0;0,05100088226644447
96;96;50091;0,855902258;0,005889281999999999;0.001177856;0.002215967;0.001177856;0.006068955;0.041244934;0.055678665;0.030644228;0;0,04910400941084207
97;97;49066;0,851709942;0,005991929;0.001365508;0.001630457;0.001793503;0.006236498;0.043064444;0.057147516;0.031060205;0;0,04809920596019998
98;98;49763;0,852380283;0,00596829;0.001406668;0.001768382;0.001507144;0.006249623;0.043707172;0.056166228;0.030846211;0;0,048782472306636605
99;99;50744;0,8538349359999999;0,005951443000000001;0.00139918;0.001714488;0.001793315;0.005990856;0.043749015;0.055139524;0.030427243;0;0,04974414273110479
100;100;49440;0,848745955;0,00631068;0.001334951;0.001820388;0.001597896;0.00625;0.046035599;0.056654531;0.03125;0;0,04846583668267817
101;101;49873;0,848896196;0,00603533;0.001463718;0.00172438;0.00172438;0.006396246;0.046879073;0.056222806;0.030657871;0;0,04889030487207137
102;102;51798;0,853256883;0,005946176;0.001409321;0.001795436;0.001660296;0.006351597;0.045793274;0.054307116;0.029479903;0;0,05077737476717969
103;103;54327;0,859094005;0,005724594;0.001270087;0.001877519;0.001325308;0.006239991;0.044692326;0.051668599;0.028107571;0;0,05325654347612979
104;104;61619;0,874649053;0,00511206;0.001265843;0.001606647;0.001168471;0.005485321;0.03993898;0.045765105;0.02500852;0;0,06040486226840506
105;105;50479;0,84647081;0,005804394;0.001208423;0.002080073;0.00180273;0.006676044;0.051526377;0.054577151;0.029853999;0;0,04948436427801196
106;106;49800;0,84311245;0,0060441769999999995;0.001425703;0.002028112;0.001506024;0.007389558;0.05375502;0.054518072;0.030220884;0;0,04881874326046466
107;107;51299;0,8465272229999999;0,006120977;0.001072146;0.002066317;0.001695939;0.007017681;0.053197918;0.053256399;0.0290454;0;0,050288207038525636
108;108;55768;0,8576423759999999;0,005720126;0.001344857;0.001595897;0.001721417;0.006491178;0.049508679;0.049239707;0.026735762;0;0,054669150083325166
109;109;53485;0,850668412;0,00602038;0.001233991;0.001981864;0.00147705;0.00719828;0.053940357;0.050126204;0.027353464;0;0,052431134202529164
110;110;54295;0,852196335;0,005672714000000001;0.001326089;0.001952298;0.001657611;0.006980385;0.055143199;0.048770605;0.026300764;0;0,05322517400254877
111;111;54105;0,8504204790000001;0,006006839;0.001367711;0.001996119;0.00164495;0.007282137;0.057406894;0.047962296;0.025912577;0;0,053038917753161455
112;112;53909;0,8490604540000001;0,006177076;0.001205736;0.002077575;0.00168803;0.00749411;0.059971433;0.046968039;0.025357547;0;0,0528467797274777
113;113;60152;0,863811677;0,005535976;0.001363213;0.001579332;0.001762202;0.006716319;0.054495279;0.041960367;0.022775635;0;0,0589667679639251
114;114;51532;0,8402545990000001;0,006500815;0.001416596;0.00186292;0.002192812;0.008286113;0.067977179;0.046611814;0.024897151;0;0,05051661601803745
115;115;53434;0,845136056;0,006456563;0.00116031;0.001684321;0.002208332;0.008234457;0.066642961;0.045008796;0.023468204;0;0,05238113910400941
116;116;55704;0,850728853;0,006049835;0.001346402;0.001669539;0.001992676;0.007916846;0.064806836;0.043820911;0.021668103;0;0,05460641113616312
117;117;59915;0,860268714;0,005741466999999999;0.001318535;0.001735792;0.001568889;0.007443879;0.060802804;0.04127514;0.01984478;0;0,058734437800215665
118;118;50561;0,833883824;0,006586104000000001;0.001503135;0.002116256;0.002056921;0.009374815;0.075453413;0.048080536;0.020944997;0;0,04956474855406333
119;119;53813;0,84319774;0,006169513000000001;0.001412298;0.002025533;0.001839704;0.008901195;0.071525468;0.046048353;0.018880196;0;0,05275267130673463
120;120;54361;0,8440610000000001;0,006033737;0.001324479;0.002115487;0.001821159;0.009216166;0.072368058;0.045326613;0.017733301;0;0,053289873541809626
121;121;53347;0,8400284929999999;0,006542074;0.001312164;0.002230678;0.001799539;0.009391343;0.074943296;0.046581813;0.0171706;0;0,05229585334771101
122;122;55628;0,8457071979999999;0,006489538;0.001204429;0.002085281;0.001941468;0.008898396;0.072966851;0.045031279;0.015675559;0;0,054531908636408194
123;123;56625;0,847682119;0,0064459159999999995;0.001147903;0.001889625;0.001924945;0.009183223;0.072370861;0.045192053;0.014163355;0;0,055509263797666894
124;124;54320;0,840740059;0,006461708;0.001251841;0.002080265;0.001988218;0.009977909;0.076620029;0.049502946;0.011377025;0;0,053249681403783944
125;125;47320;0,8164835159999999;0,007227388;0.001584954;0.002324598;0.002345731;0.011792054;0.089983094;0.060460693;0.007797971;0;0,0463876090579355
126;126;50654;0,8275555729999999;0,006988589;0.001421408;0.002270304;0.002191337;0.011173846;0.083981522;0.05819876;0.00621866;0;0,04965591608665817
127;127;54323;0,8383741690000001;0,006424535;0.00161994;0.001988108;0.002043333;0.010455976;0.078751174;0.055777479;0.004565285;0;0,053252622291932165
128;128;53182;0,8342108229999999;0,0062991240000000006;0.001899139;0.002049566;0.002087172;0.010811929;0.081211688;0.058290399;0.00314016;0;0,05213410449955887
129;129;47934;0,815266825;0,007093086;0.001648099;0.002503442;0.002315684;0.012412901;0.091417366;0.065757083;0.001585513;0;0,04698951083227135
130;130;51178;0,826116691;0,00662394;0.00168041;0.00218844;0.002364297;0.01160655;0.085759506;0.062800422;0.000859744;0;0,0501695912165474
131;131;51488;0,826309043;0,0064481040000000005;0.001864512;0.00213642;0.002466594;0.011614357;0.085728713;0.063140926;0.00029133;0;0,05047348299186354
132;132;56842;0,8415256320000001;0,006262975;0.001460188;0.002163893;0.002128708;0.010784279;0.077583477;0.058055663;3,52E-05;0;0,0557219880403882
133;133;51812;0,824191307;0,006465684;0.00175635;0.002373967;0.002277465;0.012873466;0.087508685;0.062553077;0;0;0,050791098911871384
134;134;58652;0,843602946;0,0060696990000000004;0.001244629;0.00242106;0.002028916;0.011201664;0.07709882;0.056332265;0;0;0,057496323889814724
