;0;1;2;3;4;5;6;7;8;9;10
54;35727;0,171047107;0,00755731;0,005681977;0,003330814;0,005430067;0,009656562;0,076132897;0,227419039;0,467601534;0,026142693
55;36974;0,18561692;0,007275383;0,004868286;0,003840537;0,005463299;0,009168605;0,077378699;0,228566019;0,453697193;0,024125061
56;37919;0,192383765;0,006909465;0,005248029;0,0032965;0,005696353;0,009256573;0,078799546;0,230122102;0,444869327;0,023418339
57;38707;0,195804376;0,007001318;0,004805332;0,003410236;0,005812902;0,008887281;0,080347224;0,23628801;0,431420673;0,026222647
58;39967;0,208246804;0,006955738;0,005204294;0,003452849;0,004929066;0,009507844;0,080041034;0,240773638;0,414592038;0,026296695
59;38341;0,161993688;0,007459378;0,004981612;0,00359928;0,005711901;0,010667432;0,086878277;0,276518609;0,416499309;0,025690514
60;39411;0,172591408;0,006901626;0,004922484;0,003349319;0,006292659;0,009565857;0,087006166;0,283677146;0,396995763;0,028697572
61;39602;0,163527095;0,007146104;0,004923994;0,003888692;0,005403767;0,010529771;0,087975355;0,297939498;0,386823898;0,031841826
62;40729;0,173881018;0,007095681;0,005033269;0,003044514;0,005696187;0,010606693;0,088438214;0,304058533;0,367354956;0,034790935
63;41304;0,173106721;0,007021112;0,005253728;0,003558977;0,005495836;0,010652721;0,090717606;0,311422623;0,355074569;0,037696107
64;42438;0,183467647;0,007116264;0,004901268;0,003416749;0,005513926;0,010462322;0,091451058;0,315000707;0,339342099;0,039327961
65;43283;0,187833561;0,006861816;0,004851789;0,003742809;0,005036619;0,01051221;0,092299517;0,326155766;0,322459164;0,040246748
66;43684;0,183865946;0,006913286;0,004990385;0,003387968;0,005700027;0,010827763;0,09339804;0,34188719;0,305580991;0,043448402
67;43782;0,174889224;0,006463844;0,0052533;0,00315198;0,005664428;0,011717144;0,096158239;0,358731899;0,292860079;0,045109863
68;44259;0,172349127;0,006733094;0,005400032;0,003163198;0,005422626;0,012494634;0,097065004;0,376962878;0,274339682;0,046069726
69;44688;0,168792517;0,007093627;0,004654493;0,003401361;0,005930004;0,01174812;0,098796097;0,392364841;0,26183763;0,04538131
70;45948;0,180769566;0,006594411;0,005114477;0,003155741;0,005549752;0,012274745;0,097392705;0,392487159;0,250369983;0,04629146
71;46363;0,177231844;0,007053038;0,004658887;0,003321614;0,00560792;0,012855078;0,099044497;0,399478032;0,24303863;0,047710459
72;47445;0,186152387;0,006491727;0,00455264;0,003540942;0,005458952;0,013067763;0,098029297;0,395299821;0,242301612;0,045104858
73;47579;0,177767502;0,006389373;0,005086278;0,003383846;0,00533849;0,013682507;0,099392589;0,399377877;0,244771853;0,044809685
74;49159;0,194226896;0,00604162;0,004699038;0,003356456;0,005309302;0,013791981;0,09731687;0,387904555;0,243922781;0,043430501
75;50203;0,200386431;0,006473717;0,004700914;0,003346414;0,005278569;0,013724279;0,097663486;0,38093341;0,246319941;0,041172838
76;51721;0,214342337;0,006399722;0,004427602;0,003248197;0,005316989;0,014133524;0,096479186;0,369869105;0,243904797;0,041878541
77;51911;0,207682379;0,006434089;0,004334341;0,00313999;0,005278265;0,014929398;0,098726667;0,369709695;0,24971586;0,040049315
78;52439;0,206182421;0,006064189;0,004653025;0,003070234;0,005225119;0,015179542;0,099811209;0,367741566;0,252483838;0,039588856
79;54329;0,224631412;0,00614773;0,004638407;0,002889801;0,004932909;0,015056416;0,097774669;0,355905686;0,250768466;0,037254505
80;51547;0,17372495;0,006304926;0,004403748;0,003317361;0,005587134;0,017071799;0,106136148;0,376219761;0,268977826;0,038256349
81;52352;0,176363845;0,006303484;0,004584352;0,003476467;0,005176498;0,017592451;0,106968215;0,371198808;0,278060055;0,030275825
82;52446;0,168458986;0,006482859;0,004423598;0,003317698;0,005662968;0,01811387;0,109369637;0,37116272;0,293463753;0,019543912
