tf;av;max
807,699;47,7;50,1
808,699;47,5;50,1
809,699;47,4;50,1
810,699;47,3;50,0
811,699;47,2;50,0
812,699;47,1;50,1
813,699;47,1;50,1
814,699;47,0;50,1
815,699;46,9;50,1
816,699;46,8;50,1
817,699;46,8;50,0
818,699;46,8;50,0
819,699;46,9;50,1
820,699;47,0;50,2
821,699;47,2;50,3
822,699;47,3;50,3
823,699;47,4;50,4
824,699;47,4;50,4
825,699;47,4;50,4
826,699;47,4;50,5
827,699;47,6;50,4
828,699;47,7;50,4
829,699;47,8;50,4
830,699;47,8;50,4
831,699;48,0;50,4
832,699;48,0;50,4
833,699;48,1;50,4
834,699;48,1;50,4
835,699;48,0;50,4
836,699;48,1;50,5
837,699;48,3;50,5
838,699;48,4;50,5
839,699;48,4;50,5
840,699;48,2;50,4
841,699;48,0;50,2
842,699;48,2;50,2
843,699;48,3;50,2
844,699;48,2;50,1
845,699;48,0;50,1
846,699;47,8;50,0
847,699;47,9;50,1
848,699;48,1;50,2
849,699;48,0;50,5
850,699;48,0;50,6
851,699;47,8;50,6
852,699;47,7;50,5
853,699;47,8;50,4
854,699;48,1;50,5
855,699;48,2;50,5
856,699;48,3;50,6
859,899;48,3;50,8
860,899;48,3;50,7
861,899;48,3;50,8
862,899;48,3;50,8
863,899;48,3;50,8
864,899;48,3;50,8
865,899;48,4;50,8
866,899;48,4;50,8
867,899;48,4;50,8
868,899;48,4;50,8
869,899;48,5;50,9
870,899;48,5;50,9
871,899;48,6;50,9
872,899;48,6;50,8
873,899;48,6;50,8
874,899;48,7;50,8
875,899;48,6;50,8
876,899;48,4;50,8
877,899;48,5;50,8
878,899;48,6;50,8
879,899;48,6;50,8
880,899;48,6;50,9
881,899;48,6;50,7
882,899;48,5;50,8
883,899;48,4;50,8
884,899;48,3;50,8
885,899;48,2;50,8
886,899;48,1;50,8
887,899;48,0;50,8
888,899;48,1;50,8
889,899;48,2;50,7
890,899;48,3;50,7
891,899;48,4;50,7
892,899;48,3;50,7
893,899;48,3;50,7
894,899;48,3;50,7
895,899;48,4;50,6
896,899;48,4;50,7
897,899;48,3;50,7
898,899;48,2;50,8
899,899;48,2;50,8
900,899;48,2;50,8
901,899;48,3;50,8
902,899;48,2;50,8
903,899;48,1;50,8
904,899;48,0;50,8
905,899;48,1;50,9
906,899;48,1;50,9
907,899;48,2;50,9
908,899;48,2;50,9
909,899;48,2;50,9
910,899;48,1;50,9
911,899;48,2;50,9
912,899;48,2;50,9
913,899;48,2;50,9
914,899;48,1;50,9
915,899;47,9;50,8
916,899;47,7;50,8
917,899;47,8;50,8
918,899;47,9;50,9
919,899;47,7;50,8
920,899;47,7;50,8
921,899;47,8;50,9
922,899;48,0;51,0
923,899;48,0;51,0
924,899;47,9;51,0
925,899;47,8;50,8
926,899;47,7;50,8
927,899;47,9;50,8
928,899;47,6;50,6
929,899;47,5;50,6
930,899;47,5;50,6
931,899;47,6;50,7
932,899;47,8;50,7
933,899;47,9;50,7
934,899;47,7;50,9
935,899;47,6;50,8
936,899;47,9;50,8
937,899;47,8;50,9
938,899;47,9;50,9
939,899;48,1;50,9
940,899;48,3;51,0
941,899;48,4;50,9
942,899;48,4;50,9
943,899;48,5;51,0
944,899;48,5;51,0
945,899;48,5;51,0
946,899;48,5;51,0
947,899;48,6;51,0
948,899;48,6;51,0
949,899;48,6;51,0
950,899;48,7;51,0
951,899;48,7;51,0
952,899;48,7;51,0
953,899;48,7;50,9
954,899;48,6;51,0
955,899;48,6;51,0
956,899;48,6;51,0
957,899;48,6;50,9
958,899;48,6;50,8
959,899;48,5;50,8
960,899;48,5;50,8
961,932;48,5;50,7
962,932;48,5;50,7
963,932;48,5;50,7
964,932;48,5;50,7
965,932;48,4;50,6
966,932;48,3;50,6
967,932;48,3;50,6
968,932;48,5;50,6
969,932;48,5;50,6
970,932;48,2;50,6
971,932;47,9;50,5
972,932;47,8;50,2
973,932;47,7;50,0
974,932;47,6;49,9
975,932;47,6;49,9
976,932;47,5;49,9
977,932;47,5;49,9
978,932;47,8;50,1
979,932;47,9;50,1
980,932;48,1;50,2
981,932;48,1;50,3
982,932;48,2;50,3
983,932;48,3;50,4
984,932;48,4;50,5
985,932;48,4;50,5
986,932;48,4;50,5
987,932;48,4;50,6
988,932;48,5;50,6
989,932;48,4;50,6
990,932;48,5;50,6
991,932;48,5;50,6
992,932;48,4;50,6
993,932;48,2;50,4
994,932;48,1;50,4
995,932;48,1;50,4
996,932;48,1;50,3
997,932;48,1;50,4
998,932;48,1;50,4
999,932;48,0;50,4
1000,932;47,8;50,4
1001,932;47,6;50,3
1002,932;47,5;50,3
1003,932;47,6;50,3
1004,932;47,8;50,4
1005,932;47,9;50,2
1006,932;48,0;50,2
1007,932;48,0;50,2
1008,932;48,0;50,4
1009,932;48,0;50,3
1010,932;48,0;50,4
1011,932;48,0;50,3
1012,932;48,0;50,3
1013,932;48,0;50,4
1014,932;47,9;50,4
1015,932;47,7;50,4
1016,932;47,7;50,3
1017,932;47,8;50,1
1018,932;47,9;50,1
1019,932;47,8;50,2
1020,932;47,5;50,1
1021,932;47,6;50,1
1022,932;47,6;50,2
1023,932;47,5;50,1
1024,932;47,6;50,1
1025,932;53,0;73,2
1026,999;44,5;47,0
1027,999;47,7;50,1
1028,999;47,8;50,1
1029,999;47,8;50,1
1030,999;47,8;50,2
1031,999;47,8;50,1
1032,999;47,9;50,0
1033,999;47,9;49,9
1034,999;47,8;49,9
1035,999;47,8;49,8
1036,999;47,6;49,9
