Omega RDXL6SD Serial No. 002006 - Logged Data
Date:,03-10-16
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,
,,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,
13:09:05,95,  22.5,  22.5,  22.4,  22.7, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:09:06,96,  22.5,  22.6,  22.4,  22.7, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:07,97,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:08,98,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:09:09,99,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:10,100,  22.5,  22.5,  22.3,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:11,101,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.3,  24.6,  25.3,
13:09:12,102,  22.4,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:13,103,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:14,104,  22.5,  22.6,  22.5,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:15,105,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:16,106,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.0,  24.3,  24.6,  25.3,
13:09:17,107,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:18,108,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:19,109,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:20,110,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.0,  24.2,  24.6,  25.3,
13:09:21,111,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:22,112,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:23,113,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:24,114,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:25,115,  22.6,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:26,116,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:27,117,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.6,  25.3,
13:09:28,118,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:29,119,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:30,120,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:31,121,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:32,122,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:33,123,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.2,  24.6,  25.3,
13:09:34,124,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:09:35,125,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:36,126,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:37,127,  22.6,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:38,128,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:39,129,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:40,130,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.3,
13:09:41,131,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.6,  25.3,
13:09:42,132,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:43,133,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:44,134,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:45,135,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:46,136,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:47,137,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:48,138,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:09:49,139,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:50,140,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:51,141,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:52,142,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:53,143,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:54,144,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:09:55,145,  22.6,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.6,  25.4,
13:09:56,146,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:09:57,147,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:09:58,148,  22.6,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:09:59,149,  22.5,  22.6,  22.5,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:00,150,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:01,151,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:02,152,  22.6,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:03,153,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.3,  24.7,  25.4,
13:10:04,154,  22.6,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:05,155,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:06,156,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:07,157,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:08,158,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:09,159,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:10,160,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:11,161,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:12,162,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:13,163,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:14,164,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
13:10:15,165,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  24.1,  24.4,  24.7,  25.4,
